5936,9804,3868,3852,6770,2918,3852,6770,2918,5936,9804,3868
5396,7724,2328,2336,4020,1684,7435,10313,2878,252,986,734
4810,6998,2188,5138,6544,1406,126,1394,1268,6845,9271,2426
2175,4167,1992,4378,6584,2206,10193,13305,3112,4550,7126,2576
252,986,734,3900,5312,1412,2336,4020,1684,1617,2811,1194
4120,5404,1284,3412,4668,1256,3960,6084,2124,991,2109,1118
2502,2982,480,2877,5445,2568,2482,3526,1044,7967,10269,2302
5553,8507,2954,4851,7229,2378,4216,5330,1114,6442,8366,1924
6845,9271,2426,7435,10313,2878,5138,6544,1406,5396,7724,2328
2547,3915,1368,3960,6084,2124,4637,7251,2614,4120,5404,1284
570,1854,1284,4637,7251,2614,4872,6800,1928,2547,3915,1368
3365,6535,3170,2978,4788,1810,3250,5116,1866,5068,8124,3056
4550,7126,2576,2099,3851,1752,4378,6584,2206,3422,4896,1474
5068,8124,3056,2880,5476,2596,2978,4788,1810,4116,6370,2254
4409,7473,3064,2806,5874,3068,2666,4466,1800,6572,8764,2192
5044,8404,3360,5603,9065,3462,6338,9174,2836,3016,5526,2510
1617,2811,1194,126,1394,1268,3900,5312,1412,4810,6998,2188
3422,4896,1474,2482,3526,1044,2099,3851,1752,2502,2982,480
5545,8003,2458,4872,6800,1928,3437,5125,1688,570,1854,1284
860,2577,1717,2666,4466,1800,3770,4244,474,4409,7473,3064
991,2109,1118,3437,5125,1688,3412,4668,1256,5545,8003,2458
4116,6370,2254,2455,4723,2268,2880,5476,2596,347,1845,1498
347,1845,1498,1964,3656,1692,2455,4723,2268,40,234,194
1931,3765,1834,827,2686,1859,800,2408,1608,4530,6418,1888
7967,10269,2302,10193,13305,3112,2877,5445,2568,2175,4167,1992
6572,8764,2192,4216,5330,1114,2806,5874,3068,5553,8507,2954
40,234,194,3250,5116,1866,1964,3656,1692,3365,6535,3170
5635,8905,3270,6338,9174,2836,2683,5085,2402,5044,8404,3360
6442,8366,1924,3770,4244,474,4851,7229,2378,860,2577,1717
3016,5526,2510,800,2408,1608,5603,9065,3462,1931,3765,1834
4530,6418,1888,2683,5085,2402,827,2686,1859,5635,8905,3270
1580,3236,1656,4532,7056,2524,4532,7056,2524,1580,3236,1656
